county_name,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
Anderson,42146,44871
Andrews,70121,69369
Angelina,44185,47917
Aransas,44851,49153
Archer,62407,59010
Armstrong,65000,59652
Atascosa,53181,53064
Austin,56681,63251
Bailey,40589,42754
Bandera,55434,55189
Bastrop,55808,57988
Baylor,34382,38462
Bee,44005,40899
Bell,51529,50769
Bexar,52353,54589
Blanco,56573,63337
Borden,77569,66598
Bosque,45419,51092
Bowie,42683,47414
Brazoria,72006,77504
Brazos,41654,50436
Brewster,38440,44982
Briscoe,40385,40981
Brooks,24913,29083
Brown,43235,51889
Burleson,52513,57171
Burnet,54259,58173
Caldwell,49533,51205
Calhoun,54167,51768
Callahan,40568,47048
Cameron,34578,37864
Camp,40045,43603
Carson,64554,64593
Cass,39366,41231
Castro,42733,47904
Chambers,70396,86436
Cherokee,40769,43126
Childress,37125,40829
Clay,45341,55540
Cochran,38625,40502
Coke,41756,44847
Coleman,42049,41513
Collin,86188,89673
Collingsworth,40257,37328
Colorado,45398,51488
Comal,69666,81459
Comanche,39054,50113
Concho,48516,40112
Cooke,56269,56654
Coryell,49275,49151
Cottle,33750,37453
Crane,60133,63543
Crockett,50646,50153
Crosby,39026,35992
Culberson,33981,41169
Dallam,43897,51660
Dallas,51411,57229
Dawson,42354,44597
Deaf Smith,47219,42757
Delta,40529,47544
Denton,76678,84176
DeWitt,50582,48652
Dickens,42118,38864
Dimmit,32204,37329
Donley,40560,38049
Duval,33115,34352
Eastland,34434,43510
Ector,58335,60707
Edwards,39457,37430
El Paso,42075,72538
Ellis,64382,45027
Erath,42492,49115
Falls,38547,38411
Fannin,45471,51966
Fayette,51290,57588
Fisher,41531,47271
Floyd,43070,41687
Foard,48068,35755
Fort Bend,91152,93853
Franklin,42652,46880
Freestone,45134,48621
Frio,37163,37370
Gaines,58788,62195
Galveston,63064,67791
Garza,52708,45347
Gillespie,55850,57540
Glasscock,62159,86814
Goliad,54375,52554
Gonzales,46630,44838
Gray,45264,48651
Grayson,50212,53184
Gregg,47140,49201
Grimes,47839,47825
Guadalupe,64599,72964
Hale,44995,45544
Hall,27244,33278
Hamilton,45105,48616
Hansford,41335,54355
Hardeman,35156,37090
Hardin,54352,57978
Harris,55584,57072
Harrison,46230,51084
Hartley,64614,67404
Haskell,41067,35753
Hays,60495,67491
Hemphill,67773,66018
Henderson,43434,46200
Hidalgo,36094,38570
Hill,43441,49269
Hockley,50331,47360
Hood,58315,69013
Hopkins,45748,46604
Houston,32434,40371
Howard,50977,56585
Hudspeth,26635,36397
Hunt,45643,53253
Hutchinson,50114,53644
Irion,64100,63546
Jack,50390,51257
Jackson,56601,51667
Jasper,44552,43752
Jeff Davis,50174,49409
Jefferson,44965,51086
Jim Hogg,34769,35915
Jim Wells,43321,41152
Johnson,59095,61609
Jones,47007,47309
Karnes,46058,50781
Kaufman,60179,69453
Kendall,76350,87869
Kenedy,24000,42715
Kent,50625,48695
Kerr,44261,53508
Kimble,41263,41442
King,57083,65978
Kinney,34398,43589
Kleberg,41469,43675
Knox,42188,37785
La Salle,40094,43575
Lamar,40283,39555
Lamb,41401,54460
Lampasas,50358,38595
Lavaca,47753,48733
Lee,54346,54861
Leon,47441,46780
Liberty,49655,49328
Limestone,37431,40411
Lipscomb,60163,60544
Live Oak,50741,50151
Llano,48562,51497
Loving,56875,81932
Lubbock,46859,50679
Lynn,40722,42349
Madison,43209,40057
Marion,35424,47294
Martin,63992,63286
Mason,38496,42846
Matagorda,41253,35070
Maverick,37155,63653
McCulloch,40784,50846
McLennan,44246,45626
McMullen,57589,37053
Medina,58333,56199
Menard,37917,35579
Midland,71424,79455
Milam,39213,45360
Mills,44375,43404
Mitchell,51555,41164
Montague,46383,49675
Montgomery,70805,82253
Moore,50552,51018
Morris,37902,40096
Motley,35433,37238
Nacogdoches,38915,42784
Navarro,43388,45045
Newton,36829,42491
Nolan,38411,42953
Nueces,51882,51925
Ochiltree,50011,57932
Oldham,52292,55004
Orange,51443,58311
Palo Pinto,42824,46444
Panola,50712,52669
Parker,67979,76390
Parmer,48589,46858
Pecos,51735,48855
Polk,40864,46681
Potter,40340,38091
Presidio,33453,31018
Rains,50405,60794
Randall,62635,65457
Reagan,59257,62393
Real,37059,37809
Red River,35016,38264
Reeves,46464,45361
Refugio,50145,43410
Roberts,72500,65468
Robertson,49142,43533
Rockwall,89161,97929
Runnels,41339,45046
Rusk,47424,51885
Sabine,32500,40535
San Augustine,29426,37124
San Jacinto,44878,39475
San Patricio,52659,53057
San Saba,40718,42649
Schleicher,59766,49339
Scurry,55661,52129
Shackelford,50285,60273
Shelby,36312,36767
Sherman,52969,51364
Smith,48683,55128
Somervell,50562,62868
Starr,26682,30107
Stephens,45217,43202
Sterling,50156,61843
Stonewall,47969,44692
Sutton,54567,58729
Swisher,35167,41100
Tarrant,60373,64935
Taylor,47044,50431
Terrell,24821,42294
Terry,40407,39771
Throckmorton,39438,39580
Titus,45026,46226
Tom Green,47637,50717
Travis,64422,74713
Trinity,35865,40544
Tyler,45427,44680
Upshur,47724,49146
Upton,48220,54544
Uvalde,39011,41380
Val Verde,44170,41698
Van Zandt,46555,51439
Victoria,54697,53096
Walker,40090,43999
Waller,53508,57243
Ward,56796,56848
Washington,52718,54666
Webb,38711,48681
Wharton,46445,46205
Wheeler,51082,54207
Wichita,45371,47718
Wilbarger,43635,39417
Willacy,28817,33168
Williamson,75935,85797
Wilson,68737,71208
Winkler,54261,60087
Wise,56396,65248
Wood,47814,52727
Yoakum,56655,57996
Young,46978,48744
Zapata,36976,33397
Zavala,26639,30128
